segundo,emocion,confianza
1482.0,No_Detectado,0.0
1484.0,No_Detectado,0.0
1486.0,No_Detectado,0.0
1488.0,No_Detectado,0.0
1490.0,No_Detectado,0.0
1492.0,Fear,0.3759085237979889
1494.0,No_Detectado,0.0
1496.0,No_Detectado,0.0
1498.0,No_Detectado,0.0
1500.0,No_Detectado,0.0
1502.0,No_Detectado,0.0
1504.0,No_Detectado,0.0
1506.0,No_Detectado,0.0
1508.0,No_Detectado,0.0
1510.0,No_Detectado,0.0
1512.0,No_Detectado,0.0
1514.0,Sad,0.3236653506755829
1516.0,No_Detectado,0.0
1518.0,Sad,0.3693481385707855
1520.0,No_Detectado,0.0
1522.0,Sad,0.22639141976833344
1524.0,No_Detectado,0.0
1526.0,No_Detectado,0.0
1528.0,No_Detectado,0.0
1530.0,No_Detectado,0.0
1532.0,No_Detectado,0.0
1534.0,No_Detectado,0.0
1536.0,No_Detectado,0.0
1538.0,No_Detectado,0.0
1540.0,No_Detectado,0.0
1542.0,No_Detectado,0.0
1544.0,No_Detectado,0.0
1546.0,No_Detectado,0.0
1548.0,No_Detectado,0.0
1550.0,No_Detectado,0.0
1552.0,No_Detectado,0.0
1554.0,No_Detectado,0.0
1556.0,No_Detectado,0.0
1558.0,No_Detectado,0.0
1560.0,Sad,0.266965389251709
1562.0,No_Detectado,0.0
1564.0,No_Detectado,0.0
1566.0,No_Detectado,0.0
1568.0,Sad,0.37021222710609436
1570.0,No_Detectado,0.0
1572.0,No_Detectado,0.0
1574.0,No_Detectado,0.0
1576.0,No_Detectado,0.0
1578.0,No_Detectado,0.0
1580.0,No_Detectado,0.0
1582.0,No_Detectado,0.0
1584.0,No_Detectado,0.0
1586.0,No_Detectado,0.0
1588.0,No_Detectado,0.0
1590.0,No_Detectado,0.0
1592.0,No_Detectado,0.0
1594.0,No_Detectado,0.0
1596.0,No_Detectado,0.0
1598.0,No_Detectado,0.0
1600.0,No_Detectado,0.0
1602.0,No_Detectado,0.0
1604.0,No_Detectado,0.0
1606.0,No_Detectado,0.0
1608.0,No_Detectado,0.0
1610.0,No_Detectado,0.0
1612.0,No_Detectado,0.0
1614.0,No_Detectado,0.0
1616.0,No_Detectado,0.0
1618.0,No_Detectado,0.0
1620.0,No_Detectado,0.0
1622.0,No_Detectado,0.0
1624.0,No_Detectado,0.0
1626.0,No_Detectado,0.0
1628.0,No_Detectado,0.0
1630.0,No_Detectado,0.0
1632.0,No_Detectado,0.0
1634.0,No_Detectado,0.0
1636.0,No_Detectado,0.0
1638.0,No_Detectado,0.0
1640.0,No_Detectado,0.0
1642.0,No_Detectado,0.0
1644.0,No_Detectado,0.0
1646.0,No_Detectado,0.0
1648.0,No_Detectado,0.0
1650.0,No_Detectado,0.0
1652.0,No_Detectado,0.0
1654.0,No_Detectado,0.0
1656.0,No_Detectado,0.0
1658.0,No_Detectado,0.0
1660.0,No_Detectado,0.0
1662.0,No_Detectado,0.0
1664.0,No_Detectado,0.0
1666.0,No_Detectado,0.0
1668.0,No_Detectado,0.0
1670.0,No_Detectado,0.0
1672.0,No_Detectado,0.0
1674.0,Sad,0.39227086305618286
1676.0,No_Detectado,0.0
1678.0,No_Detectado,0.0
1680.0,No_Detectado,0.0
1682.0,No_Detectado,0.0
1684.0,No_Detectado,0.0
1686.0,No_Detectado,0.0
1688.0,No_Detectado,0.0
1690.0,No_Detectado,0.0
1692.0,No_Detectado,0.0
1694.0,No_Detectado,0.0
1696.0,No_Detectado,0.0
1698.0,Sad,0.3491871953010559
1700.0,No_Detectado,0.0
1702.0,No_Detectado,0.0
1704.0,No_Detectado,0.0
1706.0,No_Detectado,0.0
1708.0,No_Detectado,0.0
1710.0,No_Detectado,0.0
1712.0,No_Detectado,0.0
1714.0,No_Detectado,0.0
1716.0,No_Detectado,0.0
1718.0,No_Detectado,0.0
1720.0,No_Detectado,0.0
1722.0,No_Detectado,0.0
1724.0,No_Detectado,0.0
